S21S3F0  0      102.06Factory Default CPG2030-003-05  
O121O 2 4 1
P01   42.26  17.19 -51.52-100.96   3.84  97.23
l121l1000
I121I   0.00
O1,2,4,16,1P01   41.54  17.15 -52.11-100.97   3.12  96.45 0
O1,52,54,66,51P01  4.17353E+01  1.70259E+01 -5.19908E+01 -1.00994E+02  3.58527E+00  9.65451E+01 120
P01  4.10649E+01  1.71339E+01 -5.25120E+01 -1.00847E+02  3.08801E+00  9.53761E+01 120
O1,52,54,51P01  4.19821E+01  1.66604E+01 -5.19392E+01 -1.01123E+02  2.94801E+00  9.64354E+01 
P01  4.16090E+01  1.65575E+01 -5.22553E+01 -1.01325E+02  3.16845E+00  9.64175E+01 
O1,52,54,16,51P01  4.18333E+01  1.70420E+01 -5.19074E+01 -1.01076E+02  3.26461E+00  9.69333E+01  0
O1,52,54,66,51P01  4.20877E+01  1.71737E+01 -5.17119E+01 -1.00893E+02  3.69339E+00  9.69266E+01 120
e1Tf2 E*ERROR**ERROR* EC -99*PS  1*FL  0*ST 1*
fP01 {%B”õäA/Q¬˙…¬0'R@-Ì¿B120
O1,2,4,1O1,2,4,16,1P01 ¨a$B™&âA≤ÎQ¬◊Å…¬Åë?@ø|øB 0
FP01   42.11  15.67 -52.09-101.88   2.69  97.13 0
01  0  41.96  17.37 -51.65-100.88   3.61  96.61
01  0  42.00  16.53 -51.94-101.37   2.91  96.43
01  0  41.98  16.62 -51.93-101.27   3.04  96.55
01  0  41.53  17.38 -52.01-100.75   3.44  96.12
01  0  41.68  17.33 -51.91-100.89   3.44  96.57
01  0  41.57  17.01 -52.13-100.95   3.15  96.17
01  0  41.23  17.28 -52.30-100.74   3.37  95.79
01  0  41.11  16.81 -52.53-101.06   2.95  95.78
01  0  41.10  17.08 -52.43-100.87   3.18  95.80
01  0  41.22  16.39 -52.60-101.19   2.35  95.93
01  0  41.24  16.81 -52.45-100.79   2.97  95.86
01  0  41.32  17.17 -52.25-100.81   2.98  95.94
01  0  41.44  16.25 -52.46-101.25   2.27  96.01
01  0  41.11  17.31 -52.36-100.43   3.27  95.70
01  0  41.09  16.83 -52.55-101.02   2.75  95.58
01  0  40.80  16.76 -52.78-100.83   2.82  95.27
01  0  40.95  17.27 -52.50-100.54   3.13  95.61
01  0  41.51  16.56 -52.27-101.16   2.67  96.02
01  0  41.51  17.13 -52.08-100.84   3.29  95.90
01  0  41.50  16.96 -52.14-100.99   3.15  95.88
01  0  41.59  17.55 -51.84-100.62   3.76  96.10
01  0  41.84  16.63 -52.04-101.17   2.91  96.20
01  0  41.80  16.54 -52.10-101.19   2.98  96.11
01  0  41.49  16.71 -52.28-101.05   2.76  95.88
01  0  41.47  16.25 -52.47-101.34   2.49  95.87
01  0  41.36  17.09 -52.26-100.76   3.09  95.85
01  0  41.60  16.81 -52.16-101.19   2.98  96.21
01  0  41.90  17.27 -51.75-100.75   3.56  96.50
01  0  41.80  17.40 -51.76-100.59   3.40  96.34
01  0  41.86  17.11 -51.86-100.82   3.30  96.49
01  0  41.88  17.24 -51.80-100.87   3.53  96.51
01  0  41.95  17.10 -51.83-100.95   3.47  96.50
01  0  41.97  17.47 -51.68-100.76   3.97  96.67
01  0  41.73  17.38 -51.91-100.82   3.64  96.45
01  0  41.66  17.35 -51.96-100.83   3.72  96.31
01  0  41.04  17.37 -52.40-100.82   3.55  95.69
01  0  41.14  17.07 -52.46-100.92   3.35  96.01
01  0  41.25  17.28 -52.27-100.71   3.52  96.08
01  0  41.23  17.03 -52.38-100.90   3.28  95.87
01  0  41.26  17.17 -52.29-100.67   3.43  96.06
01  0  41.29  17.16 -52.26-100.64   3.29  96.00
01  0  41.27  17.04 -52.36-100.85   3.26  95.80
01  0  41.45  16.92 -52.23-100.98   3.23  96.15
01  0  41.82  16.82 -51.97-101.03   3.17  96.41
01  0  42.03  17.00 -51.69-100.93   3.45  96.63
01  0  42.05  17.16 -51.68-100.93   3.58  96.73
01  0  41.81  16.92 -52.03-101.04   3.19  96.25
01  0  41.73  17.74 -51.77-100.56   3.92  96.34
01  0  41.53  17.65 -52.01-100.60   3.66  96.13
01  0  41.69  17.46 -51.90-100.90   3.80  96.41
01  0  41.61  17.66 -51.87-100.69   4.00  96.25
01  0  41.44  17.45 -52.11-100.59   3.54  96.26
01  0  41.55  17.17 -52.11-100.82   3.32  96.36
01  0  41.75  17.27 -51.90-100.74   3.46  96.50
01  0  42.00  17.42 -51.64-100.71   3.89  96.85
01  0  41.70  17.42 -51.90-100.71   3.76  96.47
01  0  41.98  17.63 -51.60-100.61   4.11  96.93
01  0  42.12  17.62 -51.41-100.61   4.12  96.95
01  0  42.21  17.09 -51.54-100.95   3.59  97.08
01  0  42.36  16.32 -51.71-101.32   3.18  97.07
01  0  41.93  16.07 -52.12-101.32   2.78  96.73
01  0  42.52  16.77 -51.52-101.32   3.49  97.52
01  0  42.05  17.11 -51.70-100.93   3.56  96.73
01  0  42.11  17.25 -51.58-101.01   3.76  97.36
01  0  42.23  17.20 -51.52-101.03   3.67  97.25
01  0  41.87  17.56 -51.63-100.65   3.89  96.85
01  0  42.17  17.56 -51.39-100.71   4.04  97.45
01  0  41.92  17.65 -51.57-100.46   4.02  96.83
01  0  41.85  17.55 -51.69-100.56   3.94  96.92
01  0  41.91  17.84 -51.56-100.34   4.28  97.03
01  0  41.87  17.78 -51.59-100.41   4.25  97.01
01  0  42.47  17.36 -51.27-100.76   4.09  97.75
01  0  42.46  17.32 -51.22-100.66   4.12  97.66
01  0  43.48  17.68 -50.41-100.65   4.86  98.55
01  0  43.44  17.85 -50.28-100.54   4.93  98.48
01  0  42.81  17.62 -50.96-100.71   4.70  98.11
01  0  42.87  17.75 -50.84-100.79   5.02  98.15
01  0  41.99  17.36 -51.55-100.61   4.30  97.51
01  0  41.87  17.45 -51.69-100.65   4.40  97.47
01  0  41.93  17.29 -51.66-100.70   4.19  97.56
01  0  41.74  17.30 -51.83-100.70   4.15  97.22
01  0  42.37  16.66 -51.57-101.32   3.78  97.73
01  0  42.28  16.90 -51.55-101.06   4.03  97.61
01  0  42.58  16.94 -51.30-101.20   4.05  98.13
01  0  42.16  16.90 -51.63-101.15   3.78  97.20
01  0  42.28  16.86 -51.55-101.20   3.81  97.75
01  0  42.15  16.67 -51.75-101.31   3.48  97.34
01  0  41.90  16.90 -51.91-101.09   3.63  97.05
01  0  41.80  17.17 -51.95-100.94   3.67  97.06
01  0  40.81  18.09 -52.41-100.40   4.02  96.28
01  0  40.99  17.83 -52.30-100.54   3.95  96.51
01  0  42.43  17.00 -51.52-101.35   3.65  97.82
01  0  41.65  17.66 -51.91-100.78   3.67  97.06
01  0  41.49  17.64 -52.01-100.86   3.67  97.02
01  0  41.70  17.48 -51.91-100.89   3.70  97.06
01  0  41.57  17.00 -52.20-101.04   3.24  96.80
01  0  41.88  16.48 -52.07-101.36   3.04  97.26
01  0  42.11  16.55 -51.84-101.29   3.19  97.34
01  0  42.06  16.64 -51.93-101.35   3.12  97.11
01  0  41.98  16.52 -51.95-101.37   3.02  96.99
01  0  42.13  16.84 -51.70-101.14   3.41  97.15
01  0  42.05  16.98 -51.71-101.25   3.49  97.04
01  0  42.33  17.20 -51.43-101.05   3.74  97.43
01  0  42.35  16.94 -51.51-101.27   3.42  97.45
01  0  42.38  16.85 -51.50-101.24   3.47  97.65
01  0  42.09  16.68 -51.79-101.29   3.11  97.05
01  0  41.86  16.96 -51.90-101.18   3.43  96.95
01  0  41.65  17.28 -51.96-101.00   3.69  96.59
01  0  40.64  17.65 -52.66-100.67   3.39  95.76
01  0  41.39  17.31 -52.15-100.94   3.57  96.60
01  0  41.92  16.91 -51.89-101.03   3.37  96.79
01  0  42.18  17.45 -51.52-100.88   3.95  96.90
01  0  42.41  17.64 -51.23-100.90   4.03  97.04
01  0  42.52  17.45 -51.19-100.94   4.00  97.30
01  0  42.63  17.72 -51.04-100.77   4.42  97.39
01  0  42.45  17.76 -51.16-100.81   4.31  97.20
01  0  42.18  17.62 -51.50-100.73   4.01  97.00
01  0  42.18  17.56 -51.50-100.84   4.16  97.19
01  0  42.30  17.54 -51.39-100.83   4.28  97.34
01  0  42.16  17.85 -51.40-100.49   4.46  97.19
01  0  41.58  18.70 -51.51 -99.81   4.83  96.85
01  0  41.62  18.33 -51.64-100.12   4.76  96.84
01  0  41.87  17.32 -51.71-100.62   4.26  96.89
01  0  42.07  17.24 -51.61-100.65   4.35  97.18
01  0  42.57  17.26 -51.22-100.74   4.36  97.56
01  0  42.47  17.13 -51.31-100.79   4.22  97.46
01  0  42.25  17.21 -51.45-100.80   4.26  97.14
01  0  42.22  17.36 -51.40-100.71   4.33  97.40
01  0  42.05  17.49 -51.57-100.68   4.26  97.12
01  0  41.92  17.54 -51.67-100.58   4.21  97.04
